task,model,dataset,indexer,k,pool size,recall,map
txt2img,clip,coco,faiss,1,1000,0.513,0.513
txt2img,clip,coco,vanilla,1,1000,0.513,0.513
txt2img,clip,coco,faiss,5,1000,0.816,0.627
txt2img,clip,coco,vanilla,5,1000,0.816,0.627
txt2img,clip,coco,faiss,10,1000,0.904,0.644
txt2img,clip,coco,vanilla,10,1000,0.904,0.644
txt2img,clip,coco,faiss,1,5000,0.305,0.305
txt2img,clip,coco,vanilla,1,5000,0.305,0.305
txt2img,clip,coco,faiss,5,5000,0.557,0.402
txt2img,clip,coco,vanilla,5,5000,0.557,0.402
txt2img,clip,coco,faiss,10,5000,0.672,0.418
txt2img,clip,coco,vanilla,10,5000,0.672,0.418
img2txt,clip,coco,faiss,1,1000,0.528,0.528
img2txt,clip,coco,vanilla,1,1000,0.528,0.528
img2txt,clip,coco,faiss,5,1000,0.805,0.632
img2txt,clip,coco,vanilla,5,1000,0.805,0.632
img2txt,clip,coco,faiss,10,1000,0.888,0.643
img2txt,clip,coco,vanilla,10,1000,0.888,0.643
img2txt,clip,coco,faiss,1,5000,0.341,0.341
img2txt,clip,coco,vanilla,1,5000,0.341,0.341
img2txt,clip,coco,faiss,5,5000,0.594,0.436
img2txt,clip,coco,vanilla,5,5000,0.594,0.436
img2txt,clip,coco,faiss,10,5000,0.703,0.45
img2txt,clip,coco,vanilla,10,5000,0.703,0.45
txt2img,clip,flickr30k,faiss,1,1000,0.599,0.599
txt2img,clip,flickr30k,vanilla,1,1000,0.599,0.599
txt2img,clip,flickr30k,faiss,5,1000,0.849,0.698
txt2img,clip,flickr30k,vanilla,5,1000,0.849,0.699
txt2img,clip,flickr30k,faiss,10,1000,0.9,0.697
txt2img,clip,flickr30k,vanilla,10,1000,0.9,0.699
txt2img,clip,flickr30k,faiss,1,5000,0.385,0.385
txt2img,clip,flickr30k,vanilla,1,5000,0.385,0.385
txt2img,clip,flickr30k,faiss,5,5000,0.653,0.487
txt2img,clip,flickr30k,vanilla,5,5000,0.654,0.488
txt2img,clip,flickr30k,faiss,10,5000,0.754,0.503
txt2img,clip,flickr30k,vanilla,10,5000,0.754,0.504
img2txt,clip,flickr30k,faiss,1,1000,0.582,0.582
img2txt,clip,flickr30k,vanilla,1,1000,0.582,0.582
img2txt,clip,flickr30k,faiss,5,1000,0.851,0.687
img2txt,clip,flickr30k,vanilla,5,1000,0.851,0.687
img2txt,clip,flickr30k,faiss,10,1000,0.918,0.696
img2txt,clip,flickr30k,vanilla,10,1000,0.918,0.696
img2txt,clip,flickr30k,faiss,1,5000,0.368,0.368
img2txt,clip,flickr30k,vanilla,1,5000,0.368,0.368
img2txt,clip,flickr30k,faiss,5,5000,0.651,0.476
img2txt,clip,flickr30k,vanilla,5,5000,0.651,0.476
img2txt,clip,flickr30k,faiss,10,5000,0.747,0.489
img2txt,clip,flickr30k,vanilla,10,5000,0.747,0.489
txt2img,albef,coco,faiss,1,1000,0.668,0.668
txt2img,albef,coco,vanilla,1,1000,0.668,0.668
txt2img,albef,coco,faiss,5,1000,0.929,0.775
txt2img,albef,coco,vanilla,5,1000,0.929,0.775
txt2img,albef,coco,faiss,10,1000,0.969,0.779
txt2img,albef,coco,vanilla,10,1000,0.969,0.779
txt2img,albef,coco,faiss,1,5000,0.465,0.465
txt2img,albef,coco,vanilla,1,5000,0.465,0.465
txt2img,albef,coco,faiss,5,5000,0.752,0.576
txt2img,albef,coco,vanilla,5,5000,0.752,0.576
txt2img,albef,coco,faiss,10,5000,0.845,0.587
txt2img,albef,coco,vanilla,10,5000,0.845,0.587
img2txt,albef,coco,faiss,1,1000,0.691,0.691
img2txt,albef,coco,vanilla,1,1000,0.691,0.691
img2txt,albef,coco,faiss,5,1000,0.918,0.784
img2txt,albef,coco,vanilla,5,1000,0.918,0.783
img2txt,albef,coco,faiss,10,1000,0.969,0.791
img2txt,albef,coco,vanilla,10,1000,0.969,0.791
img2txt,albef,coco,faiss,1,5000,0.508,0.508
img2txt,albef,coco,vanilla,1,5000,0.508,0.508
img2txt,albef,coco,faiss,5,5000,0.776,0.612
img2txt,albef,coco,vanilla,5,5000,0.776,0.612
img2txt,albef,coco,faiss,10,5000,0.864,0.624
img2txt,albef,coco,vanilla,10,5000,0.864,0.624
txt2img,albef,flickr30k,faiss,1,1000,0.609,0.609
txt2img,albef,flickr30k,vanilla,1,1000,0.609,0.609
txt2img,albef,flickr30k,faiss,5,1000,0.862,0.719
txt2img,albef,flickr30k,vanilla,5,1000,0.862,0.718
txt2img,albef,flickr30k,faiss,10,1000,0.923,0.732
txt2img,albef,flickr30k,vanilla,10,1000,0.923,0.731
txt2img,albef,flickr30k,faiss,1,5000,0.403,0.403
txt2img,albef,flickr30k,vanilla,1,5000,0.403,0.403
txt2img,albef,flickr30k,faiss,5,5000,0.68,0.507
txt2img,albef,flickr30k,vanilla,5,5000,0.68,0.506
txt2img,albef,flickr30k,faiss,10,5000,0.777,0.515
txt2img,albef,flickr30k,vanilla,10,5000,0.777,0.515
img2txt,albef,flickr30k,faiss,1,1000,0.635,0.635
img2txt,albef,flickr30k,vanilla,1,1000,0.635,0.635
img2txt,albef,flickr30k,faiss,5,1000,0.872,0.731
img2txt,albef,flickr30k,vanilla,5,1000,0.872,0.731
img2txt,albef,flickr30k,faiss,10,1000,0.921,0.738
img2txt,albef,flickr30k,vanilla,10,1000,0.921,0.738
img2txt,albef,flickr30k,faiss,1,5000,0.435,0.435
img2txt,albef,flickr30k,vanilla,1,5000,0.435,0.435
img2txt,albef,flickr30k,faiss,5,5000,0.704,0.538
img2txt,albef,flickr30k,vanilla,5,5000,0.704,0.538
img2txt,albef,flickr30k,faiss,10,5000,0.792,0.55
img2txt,albef,flickr30k,vanilla,10,5000,0.792,0.55
